id,symbol,name,image_url,price,market_cap,volume,high_24h,low_24h,change_24h,price_change_percentage_24h
30.00,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,18.85,2699769442.00,139001929.00,18.97,18.22,0.39,2.13,,,,,,,,,,,
31.00,cro,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.09,2449861963.00,11779689.00,0.09,0.09,0.00,2.59,,,,,,,,,,,
32.00,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,4.53,2143832965.00,121248908.00,4.58,4.38,0.05,1.16,,,,,,,,,,,
33.00,ldo,Lido DAO,https://assets.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,2.35,2086916623.00,56992977.00,2.40,2.30,0.00,0.15,,,,,,,,,,,
34.00,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,4.59,2062938071.00,35168543.00,4.64,4.41,0.18,4.06,,,,,,,,,,,
35.00,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.06,2049242581.00,43284414.00,0.06,0.06,0.00,0.14,,,,,,,,,,,
36.00,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,7.04,1949281331.00,57994588.00,7.07,6.74,0.14,1.96,,,,,,,,,,,
37.00,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1696510367,1.81,1813987949.00,106681699.00,1.82,1.73,0.05,2.60,,,,,,,,,,,
38.00,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,5.99,1799197162.00,554376749.00,6.15,5.27,0.70,13.28,,,,,,,,,,,
39.00,busd,BUSD,https://assets.coingecko.com/coins/images/9576/large/BUSDLOGO.jpg?1696509654,1.00,1696379148.00,4660033987.00,1.00,1.00,0.00,0.11,,,,,,,,,,,
40.00,imx,Immutable,https://assets.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.35,1685803714.00,58448132.00,1.37,1.27,0.01,0.91,,,,,,,,,,,
41.00,mnt,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.54,1675447246.00,9919440.00,0.54,0.50,0.03,6.77,,,,,,,,,,,
42.00,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1696502256,0.02,1579348018.00,49592257.00,0.02,0.02,0.00,1.92,,,,,,,,,,,
43.00,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.73,1522920263.00,99072194.00,1.74,1.68,0.02,1.13,,,,,,,,,,,
44.00,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,99.60,1448822215.00,23945887.00,100.30,96.70,0.72,0.73,,,,,,,,,,,
45.00,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1696512452,97.65,1428875973.00,134157377.00,98.75,93.01,2.89,3.05,,,,,,,,,,,
46.00,tao,Bittensor,https://assets.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,246.74,1405959785.00,6408884.00,259.18,233.53,7.73,3.23,,,,,,,,,,,
47.00,inj,Injective,https://assets.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,16.69,1405125078.00,87770931.00,17.10,15.71,0.44,2.69,,,,,,,,,,,
48.00,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.15,1374164422.00,70739868.00,0.15,0.14,0.00,0.10,,,,,,,,,,,
49.00,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1483.76,1362514824.00,80273816.00,1487.12,1450.85,10.93,0.74,,,,,,,,,,,
50.00,arb,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1696516109,1.02,1300500370.00,156384244.00,1.03,0.99,0.01,1.29,,,,,,,,,,,
51.00,rndr,Render,https://assets.coingecko.com/coins/images/11636/large/rndr.png?1696511529,3.32,1242272978.00,95840555.00,3.34,3.08,0.17,5.36,,,,,,,,,,,
52.00,reth,Rocket Pool ETH,https://assets.coingecko.com/coins/images/20764/large/reth.png?1696520159,2248.94,1225796158.00,1719100.00,2269.88,2182.68,45.93,2.08,,,,,,,,,,,
53.00,egld,MultiversX,https://assets.coingecko.com/coins/images/12335/large/egld-token-logo.png?1696512162,43.82,1150157600.00,18540079.00,44.15,42.34,0.18,0.41,,,,,,,,,,,
54.00,snx,Synthetix Network,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1696504103,3.39,1108643815.00,59686277.00,3.43,3.22,0.13,4.06,,,,,,,,,,,
